t,CPU,RxKBTot,TxKBTot,WriteKBTot,Watts,Amps,RMS,diff_encoder_l,flag
112.22,27.22,1.78,1.22,0,84.3,0.540177932,0.795854727,12.96667,0
112.24,27.24,1.76,1.24,0,84.3,0.540237574,0.625363779,12.3000027,0
112.26,27.26,1.74,1.26,0,84.3,0.540297217,0.434337592,12.35483753,0
112.28,27.28,1.72,1.28,0,84.3,0.540356859,0.279011657,12.99999714,0
112.3,27.3,1.7,1.3,0,84.3,0.540416501,0.22182916,10.99999523,0
112.32,27.32,1.68,1.32,0,84.3,0.540476143,0.238424855,11.00000668,0
112.34,27.34,1.66,1.34,0,84.3,0.540535785,0.161005302,12.99999714,0
112.36,27.36,1.64,1.36,0,84.3,0.540595427,0.071686189,12.33332984,0
112.38,27.38,1.62,1.38,0,84.3,0.540655069,0.123518833,12.33333482,0
112.4,27.4,1.6,1.4,0,84.3,0.540714712,0.084858036,12.99999682,0
112.42,27.42,1.58,1.42,0,84.3,0.540774354,0.070024463,13,0
112.44,27.44,1.56,1.44,0,84.3,0.540833996,0.114847853,13,0
112.46,27.46,1.54,1.46,0,84.3,0.540893638,0.160945337,13,0
112.48,27.48,1.52,1.48,0,84.3,0.54095328,0.148630696,17.66666222,0
112.5,27.5,1.5,1.5,0,84.3,0.541012922,0.240226601,22.33333333,0
112.52,27.52,1.48,1.52,0,84.3,0.541072564,0.119751959,27.00000445,0
112.54,27.54,1.46,1.54,0,84.3,0.541132207,0.09610929,31.66667557,0
112.56,27.56,1.44,1.56,0,84.3,0.541191849,0.282449065,36.33334668,0
112.58,27.58,1.42,1.58,0,84.3,0.541251491,0.079937425,41.0000178,0
112.6,27.6,1.4,1.6,0,84.3,0.541311133,0.141301924,45.66668892,0
112.62,27.62,1.38,1.62,0,84.3,0.541370775,0.153673103,40.9031828,0
112.64,27.64,1.36,1.64,0,84.3,0.541430417,0.120366661,26.70969729,0
112.66,27.66,1.34,1.66,0,84.3,0.541490059,0.222240923,17.76667287,0
112.68,27.68,1.32,1.68,0,84.3,0.541549702,0.122560533,11.79999936,0
112.7,27.7,1.3,1.7,0,84.3,0.541609344,0.22799272,9.133330154,0
112.72,27.72,1.28,1.72,0,84.3,0.541668986,0.094981289,11.53333906,0
112.74,27.74,1.26,1.74,0,84.3,0.541728628,0.124743686,13,0
112.76,27.76,1.24,1.76,0,84.3,0.54178827,0.282026293,13,0
112.78,27.78,1.22,1.78,0,84.3,0.541847912,0.118829509,13,0
112.8,27.8,1.2,1.8,0,84.3,0.541907554,0.101525958,13,0
112.82,27.82,1.18,1.82,0,84.3,0.541967197,0.281455521,13,0
112.84,27.84,1.16,1.84,0,84.2973081,0.541982054,0.066903238,13,0
112.86,27.86,1.14,1.86,0,84.29132605,0.541942174,0.157564845,11.80000827,0
112.88,27.88,1.12,1.88,0,84.285344,0.541902293,0.260318412,9.133339055,0
112.9,27.9,1.1,1.9,0,84.27936194,0.541862413,0.190476033,10.22580774,0
112.92,27.92,1.08,1.92,0,84.27337989,0.541822533,0.147296861,9.133317757,0
112.94,27.94,1.06,1.94,0,84.26739783,0.541782652,0.074733072,4.466646639,0
112.96,27.96,1.04,1.96,0,84.26141578,0.541742772,0.097683116,2.19998951,0
112.98,27.98,1.02,1.98,0,84.25543373,0.541702892,0.132007567,1.053334075,0
113,28,1,2,0,84.24945167,0.541663011,0.06989993,1.186667324,0
113.02,28,1,1.98,0.06,84.24346962,0.541623131,0.273563309,1.320000572,0
113.04,28,1,1.96,0.12,84.23748757,0.54158325,0.073006924,1.453333821,0
113.06,28,1,1.94,0.18,84.23150551,0.54154337,0.111679558,1.586667069,0
113.08,28,1,1.92,0.24,84.22552346,0.54150349,0.243174352,1.720000318,0
113.1,28,1,1.9,0.3,84.2195414,0.541463609,0.07325582,1.853333566,0
113.12,28,1,1.88,0.36,84.21355935,0.541423729,0.046284156,1.986666815,0
113.14,28,1,1.86,0.42,84.2075773,0.541383849,0.103101937,5.000006358,0
113.16,28,1,1.84,0.48,84.20159524,0.541343968,0.111651871,8.33334287,0
113.18,28,1,1.82,0.54,84.19561319,0.541304088,0.103962278,11.66667938,0
113.2,28,1,1.8,0.6,84.18963114,0.541264208,0.12371415,12.60000318,0
113.22,28,1,1.78,0.66,84.18364908,0.541224327,0.186373559,13,0
113.24,28,1,1.76,0.72,84.17766703,0.541184447,0.154548893,13,0
113.26,28,1,1.74,0.78,84.17168497,0.541144566,0.147106858,13,0
113.28,28,1,1.72,0.84,84.16570292,0.541104686,0.257971717,15.33333492,0
113.3,28,1,1.7,0.9,84.15972087,0.541064806,0.085872425,22.00000795,0
113.32,28,1,1.68,0.96,84.15373881,0.541024925,0.171453685,17.33331903,0
113.34,28,1,1.66,1.02,84.14775676,0.540985045,0.139670603,13,0
113.36,28,1,1.64,1.08,84.14177471,0.540945165,0.201522685,13,0
113.38,28,1,1.62,1.14,84.13579265,0.540905284,0.157295958,13,0
113.4,28,1,1.6,1.2,84.1298106,0.540865404,0.196344163,13,0
113.42,28,1,1.58,1.26,84.12382854,0.540825524,0.2148645,13,0
113.44,28,1,1.56,1.32,84.11784649,0.540785643,0.252042832,10.73334414,0
113.46,28,1,1.54,1.38,84.11186444,0.540745763,0.187012435,10.16665634,0
113.48,28,1,1.52,1.44,84.10588238,0.540705883,0.123975067,13.49999285,0
113.5,28,1,1.5,1.5,84.09990033,0.540666002,0.083919118,13.43333413,0
113.52,28,1,1.48,1.56,84.09391828,0.540626122,0.13702225,12.76666683,0
113.54,28,1,1.46,1.62,84.08793622,0.540586241,0.127918374,12.09999952,0
113.56,28,1,1.44,1.68,84.08195417,0.540546361,0.05355398,12.56666778,0
113.58,28,1,1.42,1.74,84.07597212,0.540506481,0.128982591,13,0
113.6,28,1,1.4,1.8,84.06999006,0.5404666,0.175759105,13,0
113.62,28,1,1.38,1.86,84.06400801,0.54042672,0.076628273,11.40000763,0
113.64,28,1,1.36,1.92,84.05802595,0.54038684,0.246420018,10.59999428,0
113.66,28,1,1.34,1.98,84.0520439,0.540346959,0.192686197,12.59999619,0
113.68,28,1,1.32,2.04,84.04606185,0.540307079,0.166715219,12.4666673,0
113.7,28,1,1.3,2.1,84.04007979,0.540267199,0.16290334,12.2,0
113.72,28,1,1.28,2.16,84.03409774,0.540227318,0.083157206,12.8666673,0
113.74,28,1,1.26,2.22,84.02811569,0.540187438,0.158615667,13,0
113.76,28,1,1.24,2.28,84.02213363,0.540147558,0.161063574,13,0
113.78,28,1,1.22,2.34,84.01615158,0.540107677,0.129156677,13,0
113.8,28,1,1.2,2.4,84.01016952,0.540067797,0.23083945,13,0
113.82,28,1,1.18,2.46,84.00418747,0.540027916,0.125433257,12.31035376,0
113.84,28,1,1.16,2.52,84,0.540017982,0.129612755,9.551737247,0
113.86,28,1,1.14,2.58,84,0.540077922,0.115915479,11.06450982,0
113.88,28,1,1.12,2.64,84,0.540137862,0.112040277,13,0
113.9,28,1,1.1,2.7,84,0.540197802,0.079307187,13,0
113.92,28,1,1.08,2.76,84,0.540257742,0.099072723,13,0
113.94,28,1,1.06,2.82,84,0.540317682,0.075535551,15.16669353,0
113.96,28,1,1.04,2.88,84,0.540377622,0.134470133,23.83336846,0
113.98,28,1,1.02,2.94,84,0.540437562,0.10125642,19.49995661,0
114,28,1,1,3,84,0.540497502,0.089559258,12.33332274,0
114.02,28,1,1,2.94,84,0.540557442,0.188272869,9.66667472,0
114.04,28,1,1,2.88,84,0.540617382,0.143790077,10.99998919,0
114.06,28,1,1,2.82,84,0.540677322,0.131815286,13,0
114.08,28,1,1,2.76,84,0.540737262,0.169869347,13,0
114.1,28,1,1,2.7,84,0.540797203,0.14874745,13,0
114.12,28,1,1,2.64,84,0.540857143,0.195583767,13,0
114.14,28,1,1,2.58,84,0.540917083,0.122237872,13,0
114.16,28,1,1,2.52,84,0.540977023,0.130544043,13,0
114.18,28,1,1,2.46,84,0.541036963,0.086901369,13,0
114.2,28,1,1,2.4,84,0.541096903,0.080364726,13,0
114.22,28,1,1,2.34,84,0.541156843,0.152419742,11.13334351,0
114.24,28,1,1,2.28,84,0.541216783,0.21746166,9.533325704,0
114.26,28,1,1,2.22,84,0.541276723,0.187203037,12.19999491,0
114.28,28,1,1,2.16,84,0.541336663,0.189745628,13,0
114.3,28,1,1,2.1,84,0.541396603,0.260067865,12.86666667,0
114.32,28,1,1,2.04,84,0.541456543,0.135619796,12.19999936,0
114.34,28,1,1,1.98,84,0.541516483,0.129631938,12.46666794,0
114.36,28,1,1,1.92,84,0.541576423,0.130988984,13,0
114.38,28,1,1,1.86,84,0.541636363,0.210335809,13,0
114.4,28,1,1,1.8,84,0.541696303,0.50490152,11.59999046,0
114.42,28,1,1,1.74,84,0.541756244,0.804643611,10.25807051,0
114.44,28,1,1,1.68,84,0.541816184,0.650166834,11.54838737,0
114.46,28,1,1,1.62,84,0.541876124,0.542648405,12.44827426,0
114.48,28,1,1,1.56,84,0.541936064,0.711185033,12.8709696,0
114.5,28,1,1,1.5,84,0.541996004,0.542734655,12.2258062,0
114.52,28,1,1,1.44,84,0.542055944,0.382757805,12.43333476,0
114.54,28,1,1,1.38,84,0.542115884,0.505515211,13,0
114.56,28,1,1,1.32,84,0.542175824,0.355908545,13,0
114.58,28,1,1,1.26,84,0.542235764,0.27419153,12.1333301,0
114.6,28,1,1,1.2,84,0.542295704,0.365343611,10.80000079,0
114.62,28,1,1,1.14,84,0.542355644,0.288297109,9.466671488,0
114.64,28,1,1,1.08,84,0.542415584,0.184910571,16.36662073,0
114.66,28,1,1,1.02,84,0.542475524,0.179130269,24.70002686,0
114.68,28,1,1,0.96,84,0.542535464,0.147691912,16.03335193,0
114.7,28,1,1,0.9,84,0.542595404,0.138488171,12.56666746,0
114.72,28,1,1,0.84,84,0.542655345,0.164007434,12.09999984,0
114.74,28,1,1,0.78,84,0.542715285,0.196310108,12.76666714,0
114.76,28,1,1,0.72,84,0.542775225,0.229415789,13,0
114.78,28,1,1,0.66,84,0.542835165,0.178428086,12.72415213,0
114.8,28,1,1,0.6,84,0.542895105,0.239775417,9.965512932,0
114.82,28,1,1,0.54,84,0.542955045,0.29683729,10.67742201,0
114.84,28,1,1,0.48,84,0.542959718,0.188113597,13,0
114.86,28,1,1,0.42,84,0.54279859,0.145398213,13,0
114.88,28,1,1,0.36,84,0.542637463,0.126865382,12.60000064,0
